# station name, latitude (deg), longitude (deg), depth (km)
S01.AZM090    0.00000  -10.00000    0.0
S02.AZM090    0.00000   -9.50000    0.0
S03.AZM090    0.00000   -9.00000    0.0
S04.AZM090    0.00000   -8.50000    0.0
S05.AZM090    0.00000   -8.00000    0.0
S06.AZM090    0.00000   -7.50000    0.0
S07.AZM090    0.00000   -7.00000    0.0
S08.AZM090    0.00000   -6.50000    0.0
S09.AZM090    0.00000   -6.00000    0.0
S10.AZM090    0.00000   -5.50000    0.0
S11.AZM090    0.00000   -5.00000    0.0
S12.AZM090    0.00000   -4.50000    0.0
S13.AZM090    0.00000   -4.00000    0.0
S14.AZM090    0.00000   -3.50000    0.0
S15.AZM090    0.00000   -3.00000    0.0
S16.AZM090    0.00000   -2.50000    0.0
S17.AZM090    0.00000   -2.00000    0.0
S18.AZM090    0.00000   -1.50000    0.0
S19.AZM090    0.00000   -1.00000    0.0
S20.AZM090    0.00000   -0.50000    0.0
S01.AZM085   -0.86717   -9.96271    0.0
S02.AZM085   -0.82422   -9.46450    0.0
S03.AZM085   -0.78120   -8.96631    0.0
S04.AZM085   -0.73813   -8.46812    0.0
S05.AZM085   -0.69500   -7.96995    0.0
S06.AZM085   -0.65182   -7.47178    0.0
S07.AZM085   -0.60859   -6.97363    0.0
S08.AZM085   -0.56531   -6.47548    0.0
S09.AZM085   -0.52199   -5.97733    0.0
S10.AZM085   -0.47863   -5.47920    0.0
S11.AZM085   -0.43523   -4.98107    0.0
S12.AZM085   -0.39180   -4.48295    0.0
S13.AZM085   -0.34834   -3.98483    0.0
S14.AZM085   -0.30486   -3.48671    0.0
S15.AZM085   -0.26135   -2.98860    0.0
S16.AZM085   -0.21782   -2.49050    0.0
S17.AZM085   -0.17428   -1.99240    0.0
S18.AZM085   -0.13072   -1.49429    0.0
S19.AZM085   -0.08715   -0.99620    0.0
S20.AZM085   -0.04358   -0.49810    0.0
S01.AZM080   -1.72794   -9.85108    0.0
S02.AZM080   -1.64233   -9.35825    0.0
S03.AZM080   -1.55661   -8.86546    0.0
S04.AZM080   -1.47076   -8.37271    0.0
S05.AZM080   -1.38481   -7.88000    0.0
S06.AZM080   -1.29876   -7.38733    0.0
S07.AZM080   -1.21261   -6.89469    0.0
S08.AZM080   -1.12637   -6.40208    0.0
S09.AZM080   -1.04004   -5.90950    0.0
S10.AZM080   -0.95364   -5.41694    0.0
S11.AZM080   -0.86717   -4.92442    0.0
S12.AZM080   -0.78064   -4.43191    0.0
S13.AZM080   -0.69405   -3.93942    0.0
S14.AZM080   -0.60740   -3.44696    0.0
S15.AZM080   -0.52071   -2.95450    0.0
S16.AZM080   -0.43399   -2.46207    0.0
